tenant,file,file_size,ingestion_start_time,ingestion_end_time,ingestion_time,success,concurrent_ingestions
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:34:10.477648,2024-03-14 23:34:23.298788,0:00:12.821140,True,1.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:34:11.508527,2024-03-14 23:34:24.065431,0:00:12.556904,True,1.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:34:30.614733,2024-03-14 23:34:41.895370,0:00:11.280637,True,1.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:34:31.625432,2024-03-14 23:34:42.885344,0:00:11.259912,True,1.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:34:45.761150,2024-03-14 23:34:57.233406,0:00:11.472256,True,1.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:34:46.778178,2024-03-14 23:34:58.262516,0:00:11.484338,True,1.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:35:00.912616,2024-03-14 23:35:12.703888,0:00:11.791272,True,1.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:35:01.919559,2024-03-14 23:35:13.440762,0:00:11.521203,True,1.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:35:16.090011,2024-03-14 23:35:27.844681,0:00:11.754670,True,1.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:35:17.096921,2024-03-14 23:35:28.781274,0:00:11.684353,True,1.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:35:31.251043,2024-03-14 23:35:43.740778,0:00:12.489735,True,1.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:35:32.259337,2024-03-14 23:35:44.894694,0:00:12.635357,True,1.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:35:51.472454,2024-03-14 23:36:03.557329,0:00:12.084875,True,1.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:35:52.480550,2024-03-14 23:36:04.583916,0:00:12.103366,True,1.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:36:06.672946,2024-03-14 23:36:18.714796,0:00:12.041850,True,1.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:36:07.689700,2024-03-14 23:36:19.789837,0:00:12.100137,True,1.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:36:21.832003,2024-03-14 23:36:38.939173,0:00:17.107170,True,2.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-1.csv,107029978,2024-03-14 23:36:22.840243,2024-03-14 23:36:40.756338,0:00:17.916095,True,2.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:36:23.870190,2024-03-14 23:36:42.136035,0:00:18.265845,True,2.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-1.csv,107029978,2024-03-14 23:36:24.895116,2024-03-14 23:36:43.186697,0:00:18.291581,True,2.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:36:47.164662,2024-03-14 23:37:03.461772,0:00:16.297110,True,2.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-1.csv,107029978,2024-03-14 23:36:48.172049,2024-03-14 23:37:05.316558,0:00:17.144509,True,2.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:36:49.234129,2024-03-14 23:37:06.837315,0:00:17.603186,True,2.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-1.csv,107029978,2024-03-14 23:36:50.253158,2024-03-14 23:37:07.440242,0:00:17.187084,True,2.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:37:12.506628,2024-03-14 23:37:28.894796,0:00:16.388168,True,2.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-1.csv,107029978,2024-03-14 23:37:13.511358,2024-03-14 23:37:29.466915,0:00:15.955557,True,2.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:37:14.517419,2024-03-14 23:37:29.923187,0:00:15.405768,True,2.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-1.csv,107029978,2024-03-14 23:37:15.526433,2024-03-14 23:37:30.174820,0:00:14.648387,True,2.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:37:32.855854,2024-03-14 23:37:44.063719,0:00:11.207865,True,2.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-1.csv,107029978,2024-03-14 23:37:33.860635,2024-03-14 23:37:45.580405,0:00:11.719770,True,2.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:37:34.864143,2024-03-14 23:37:47.052578,0:00:12.188435,True,2.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-1.csv,107029978,2024-03-14 23:37:35.868314,2024-03-14 23:37:47.760658,0:00:11.892344,True,2.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-2.csv,107029978,,,,Too many concurrent ingestions for tenant2. Max: 2 Current: 2.,4.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-3.csv,107029978,,,,Too many concurrent ingestions for tenant2. Max: 2 Current: 2.,4.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:37:53.094270,2024-03-14 23:38:05.162926,0:00:12.068656,True,4.0
